"","Source","Study","ControlSite","ControlID","Group","SpeciesCode","SpeciesName","Continent","Country","Longitude","Latitude","LocationUncertainty","StudyYear","YearsInStudy","InfraN","ControlN","InfraD","ControlD","InfraAbundance_original","ControlAbundance_original","AbundanceUnit","InfraSD_original","ControlSD_original","SDEstimate","InfraA","ControlA","InfraSD","ControlSD","MaxDist","Dist","MinDist","MaxCDist","CDist","MinCDist","Habitat","InfraType","StudyQualityA","StudyQualityB","Note","ID","InfraSD_imputed","ControlSD_imputed","logRR_uncorrected","logRR","VAR_uncorrected","VAR","logD","logD2","InfraTypeOriginal","HabitatOriginal","Order","Genus","Family","Diet","BM","logBM"
"19","Barrows et al. 2006","1b","1b","1bm1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,3.52,4.35,"individuals/survey",0.7369,0.4638,"From SE",3.52,4.35,0.7369,0.4638,NA,50,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S19",0.7369,0.4638,-0.211714855490587,-0.210416875129883,0.0071431493064265,0.00715759020494675,1.69897000433602,2.88649907563353,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"20","Barrows et al. 2006","1b","1b","1bm1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,3.72,4.35,"individuals/survey",0.655,0.4638,"From SE",3.72,4.35,0.655,0.4638,NA,100,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S20",0.655,0.4638,-0.156452176815537,-0.155866612834622,0.00571831654684789,0.00572683421805612,2,4,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"21","Barrows et al. 2006","1b","1b","1bm1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,3.53,4.35,"individuals/survey",0.7534,0.4638,"From SE",3.53,4.35,0.7534,0.4638,NA,150,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S21",0.7534,0.4638,-0.208877974155387,-0.207484137434461,0.00733486202687089,0.0073502548579138,2.17609125905568,4.73537316773854,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"22","Barrows et al. 2006","1b","1b","1bm1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,3.25,4.35,"individuals/survey",0.655,0.4638,"From SE",3.25,4.35,0.655,0.4638,NA,200,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S22",0.655,0.4638,-0.291520848758947,-0.290401104156352,0.0067866777902078,0.00679944636703987,2.30102999566398,5.29473904094538,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"23","Barrows et al. 2006","1b","1b","1bm1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,3.24,4.35,"individuals/survey",0.7042,0.4638,"From SE",3.24,4.35,0.7042,0.4638,NA,250,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S23",0.7042,0.4638,-0.294602515296355,-0.293114915543424,0.00752238809087976,0.00753874762455213,2.39794000867204,5.75011628519005,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"25","Barrows et al. 2006","1b","1b","1bm2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,0.4,0.56,"individuals/survey",0.3221,0.2161,"From SE",0.4,0.56,0.3221,0.2161,10,1,0,NA,600,NA,"Open","Paved road",1,1,"2004","S25",0.3221,0.2161,-0.336472236621213,-0.315339812868378,0.10183016638322,0.104869091413298,0,0,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"26","Barrows et al. 2006","1b","1b","1bm2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,0.5,0.56,"individuals/survey",0.3262,0.2161,"From SE",0.5,0.56,0.3262,0.2161,NA,25,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S26",0.3262,0.2161,-0.113328685307003,-0.104574139470835,0.0770744105498866,0.0786361688130873,1.39794000867204,1.95423626784598,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"27","Barrows et al. 2006","1b","1b","1bm2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,0.5,0.56,"individuals/survey",0.4148,0.2161,"From SE",0.5,0.56,0.4148,0.2161,NA,50,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S27",0.4148,0.2161,-0.113328685307003,-0.0899846728041688,0.10625334388322,0.109620730074544,1.69897000433602,2.88649907563353,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"28","Barrows et al. 2006","1b","1b","1bm2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,0.29,0.56,"individuals/survey",0.302,0.2161,"From SE",0.29,0.56,0.302,0.2161,NA,100,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S28",0.302,0.2161,-0.658055860748675,-0.612698808911715,0.150279422551472,0.157982660913414,2,4,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"29","Barrows et al. 2006","1b","1b","1bm2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,0.4,0.56,"individuals/survey",0.2779,0.2161,"From SE",0.4,0.56,0.2779,0.2161,NA,150,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S29",0.2779,0.2161,-0.336472236621213,-0.324548146201712,0.0834134997165532,0.0852951366326265,2.17609125905568,4.73537316773854,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"30","Barrows et al. 2006","1b","1b","1bm2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,0.29,0.56,"individuals/survey",0.2416,0.2161,"From SE",0.29,0.56,0.2416,0.2161,NA,200,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S30",0.2416,0.2161,-0.658055860748675,-0.634388226272,0.106900587830901,0.110317678672271,2.30102999566398,5.29473904094538,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"31","Barrows et al. 2006","1b","1b","1bm2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,0.19,0.56,"individuals/survey",0.2013,0.2161,"From SE",0.19,0.56,0.2013,0.2161,NA,250,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S31",0.2013,0.2161,-1.08091271156871,-1.03344379198062,0.154503158053734,0.162724262842739,2.39794000867204,5.75011628519005,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"33","Barrows et al. 2006","1a","1a","1ar1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,1.42,1.63,"individuals/survey",3.243,0.2136,"From SE",1.42,1.63,3.243,0.2136,10,1,0,NA,600,NA,"Open","Paved road",1,1,"2003","S33",3.243,0.2136,-0.137923143205502,0.15012381515041,0.582962818063022,0.75089528009211,0,0,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"34","Barrows et al. 2006","1a","1a","1ar1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,2.31,1.63,"individuals/survey",4.5101,0.2136,"From SE",2.31,1.63,4.5101,0.2136,NA,25,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S34",4.5101,0.2136,0.348667509715031,0.55872586339978,0.426985608720697,0.51668929818709,1.39794000867204,1.95423626784598,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"35","Barrows et al. 2006","1a","1a","1ar1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,1.71,1.63,"individuals/survey",1.4933,0.2136,"From SE",1.71,1.63,1.4933,0.2136,NA,50,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S35",1.4933,0.2136,0.0479133556958974,0.0885632953737341,0.0881687807068721,0.091764631775518,1.69897000433602,2.88649907563353,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"36","Barrows et al. 2006","1a","1a","1ar1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,2.35,1.63,"individuals/survey",0.4525,0.2136,"From SE",2.35,1.63,0.4525,0.2136,NA,100,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S36",0.4525,0.2136,0.365835313337397,0.366177906419194,0.00755408751479258,0.00756847094435756,2,4,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"37","Barrows et al. 2006","1a","1a","1ar1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,1.72,1.63,"individuals/survey",2.9413,0.2136,"From SE",1.72,1.63,2.9413,0.2136,NA,150,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S37",2.9413,0.2136,0.0537442760066908,0.214488097368308,0.328356544074434,0.381149625189496,2.17609125905568,4.73537316773854,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"38","Barrows et al. 2006","1a","1a","1ar1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,3.91,1.63,"individuals/survey",1.1916,0.2136,"From SE",3.91,1.63,1.1916,0.2136,NA,200,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S38",1.1916,0.2136,0.874957359178604,0.878399958802702,0.0137541005993963,0.0138132459123927,2.30102999566398,5.29473904094538,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"39","Barrows et al. 2006","1a","1a","1ar1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,2.36,1.63,"individuals/survey",4.9173,0.2136,"From SE",2.36,1.63,4.9173,0.2136,NA,250,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S39",4.9173,0.2136,0.370081604218848,0.609553046828477,0.485811786570457,0.602161631388689,2.39794000867204,5.75011628519005,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"41","Barrows et al. 2006","1b","1b","1br1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,1.52,2.36,"individuals/survey",1.0257,0.3935,"From SE",1.52,2.36,1.0257,0.3935,10,1,0,NA,600,NA,"Open","Paved road",1,1,"2004","S41",1.0257,0.3935,-0.439951284179334,-0.417433716972266,0.0561556637160593,0.0574510691908319,0,0,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"42","Barrows et al. 2006","1b","1b","1br1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,2.99,2.36,"individuals/survey",2.0363,0.3935,"From SE",2.99,2.36,2.0363,0.3935,NA,25,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S42",2.0363,0.3935,0.236611768365076,0.25959891983831,0.0570948322483917,0.0584381963486131,1.39794000867204,1.95423626784598,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"43","Barrows et al. 2006","1b","1b","1br1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,2.73,2.36,"individuals/survey",0.8598,0.3935,"From SE",2.73,2.36,0.8598,0.3935,NA,50,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S43",0.8598,0.3935,0.14563999015935,0.148370434924665,0.0165814188325561,0.0166576100237977,1.69897000433602,2.88649907563353,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"44","Barrows et al. 2006","1b","1b","1br1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,2.4,2.36,"individuals/survey",0.3318,0.3935,"From SE",2.4,2.36,0.3318,0.3935,NA,100,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S44",0.3318,0.3935,0.0168071183163812,0.0150888227964556,0.00768393826207348,0.00770165152837111,2,4,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"45","Barrows et al. 2006","1b","1b","1br1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,1.92,2.36,"individuals/survey",0.7089,0.3935,"From SE",1.92,2.36,0.7089,0.3935,NA,150,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S45",0.7089,0.3935,-0.206336432997828,-0.201543093914889,0.0207072074678026,0.0208373806776453,2.17609125905568,4.73537316773854,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"46","Barrows et al. 2006","1b","1b","1br1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,2.46,2.36,"individuals/survey",2.6246,0.3935,"From SE",2.46,2.36,2.6246,0.3935,NA,200,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S46",2.6246,0.3935,0.0414997309067528,0.101958385385129,0.132037838258677,0.140051584843019,2.30102999566398,5.29473904094538,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"47","Barrows et al. 2006","1b","1b","1br1","Reptiles","r1","Uma inornata","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,2.82,2.36,"individuals/survey",1.433,0.3935,"From SE",2.82,2.36,1.433,0.3935,NA,250,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S47",1.433,0.3935,0.178075265912503,0.189640830762997,0.034251659002912,0.034678715329336,2.39794000867204,5.75011628519005,"Paved road","Desert","Squamata","Uma","Phrynosomatidae",NA,56.234,1.74999897655835
"49","Barrows et al. 2006","1a","1a","1ar2","Reptiles","r2","Crotalus cerastes","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.08,0.15,"individuals/survey",0.1079,0.1106,"From SE",0.08,0.15,0.1079,0.1106,10,1,0,NA,600,NA,"Open","Paved road",1,1,"2003","S49",0.1079,0.1106,-0.628608659422374,-0.581912117061263,0.3108572625,0.337195888980732,0,0,"Paved road","Desert","Squamata","Crotalus","Viperidae",NA,316.228,2.50000032134294
"50","Barrows et al. 2006","1a","1a","1ar2","Reptiles","r2","Crotalus cerastes","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.21,0.15,"individuals/survey",0.2057,0.1106,"From SE",0.21,0.15,0.2057,0.1106,NA,25,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S50",0.2057,0.1106,0.336472236621213,0.335409908478104,0.21533952149156,0.226933427411697,1.39794000867204,1.95423626784598,"Paved road","Desert","Squamata","Crotalus","Viperidae",NA,316.228,2.50000032134294
"51","Barrows et al. 2006","1a","1a","1ar2","Reptiles","r2","Crotalus cerastes","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.28,0.15,"individuals/survey",0.2192,0.1106,"From SE",0.28,0.15,0.2192,0.1106,NA,50,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S51",0.2192,0.1106,0.624154309072994,0.603836337190908,0.176828234013605,0.185058110081099,1.69897000433602,2.88649907563353,"Paved road","Desert","Squamata","Crotalus","Viperidae",NA,316.228,2.50000032134294
"52","Barrows et al. 2006","1a","1a","1ar2","Reptiles","r2","Crotalus cerastes","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.23,0.15,"individuals/survey",0.2395,0.1106,"From SE",0.23,0.15,0.2395,0.1106,NA,100,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S52",0.2395,0.1106,0.42744401482694,0.433317678427024,0.229211504977946,0.242380483405596,2,4,"Paved road","Desert","Squamata","Crotalus","Viperidae",NA,316.228,2.50000032134294
"53","Barrows et al. 2006","1a","1a","1ar2","Reptiles","r2","Crotalus cerastes","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.11,0.15,"individuals/survey",0.1529,0.1106,"From SE",0.11,0.15,0.1529,0.1106,NA,150,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S53",0.1529,0.1106,-0.310154928303839,-0.257182083859395,0.323409866666667,0.35236447437954,2.17609125905568,4.73537316773854,"Paved road","Desert","Squamata","Crotalus","Viperidae",NA,316.228,2.50000032134294
"54","Barrows et al. 2006","1a","1a","1ar2","Reptiles","r2","Crotalus cerastes","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.15,0.15,"individuals/survey",0.2203,0.1106,"From SE",0.15,0.15,0.2203,0.1106,NA,200,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S54",0.2203,0.1106,0,0.0654662765432099,0.348396730864198,0.383027634747845,2.30102999566398,5.29473904094538,"Paved road","Desert","Squamata","Crotalus","Viperidae",NA,316.228,2.50000032134294
"55","Barrows et al. 2006","1a","1a","1ar2","Reptiles","r2","Crotalus cerastes","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.15,0.15,"individuals/survey",0.2001,0.1106,"From SE",0.15,0.15,0.2001,0.1106,NA,250,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S55",0.2001,0.1106,0,0.0444981777777778,0.306460533333333,0.331920135781614,2.39794000867204,5.75011628519005,"Paved road","Desert","Squamata","Crotalus","Viperidae",NA,316.228,2.50000032134294
"57","Barrows et al. 2006","1b","1b","1br2","Reptiles","r2","Crotalus cerastes","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,0.04,0.04,"individuals/survey",0.0899,0.0679,"From SE",0.04,0.04,0.0899,0.0679,10,1,0,NA,600,NA,"Open","Paved road",1,1,"2004","S57",0.0899,0.0679,0,-0.00752527777777789,1.13755194444444,1.46111468082741,0,0,"Paved road","Desert","Squamata","Crotalus","Viperidae",NA,316.228,2.50000032134294
"58","Barrows et al. 2006","1b","1b","1br2","Reptiles","r2","Crotalus cerastes","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,0.11,0.04,"individuals/survey",0.1619,0.0679,"From SE",0.11,0.04,0.1619,0.0679,NA,25,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S58",0.1619,0.0679,1.01160091167848,0.843797440030179,0.816995556703398,1.01202399671889,1.39794000867204,1.95423626784598,"Paved road","Desert","Squamata","Crotalus","Viperidae",NA,316.228,2.50000032134294
