Source,Study,ControlSite,ControlID,Group,SpeciesCode,SpeciesName,Continent,Country,Longitude,Latitude,LocationUncertainty,StudyYear,YearsInStudy,InfraN,ControlN,InfraD,ControlD,InfraAbundance_original,ControlAbundance_original,AbundanceUnit,InfraSD_original,ControlSD_original,SDEstimate,InfraA,ControlA,InfraSD,ControlSD,MaxDist,Dist,MinDist,MaxCDist,CDist,MinCDist,Habitat,InfraType,StudyQualityA,StudyQualityB,Note
Barrows et al. 2006,1a,1a,1am2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.28,0.87,individuals/survey,0.298,0.2911,From SE,0.28,0.87,0.298,0.2911,NA,50,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.22,0.87,individuals/survey,0.2013,0.2911,From SE,0.22,0.87,0.2013,0.2911,NA,100,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.19,0.87,individuals/survey,0.2094,0.2911,From SE,0.19,0.87,0.2094,0.2911,NA,150,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.32,0.87,individuals/survey,0.306,0.2911,From SE,0.32,0.87,0.306,0.2911,NA,200,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.31,0.87,individuals/survey,0.2577,0.2911,From SE,0.31,0.87,0.2577,0.2911,NA,250,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2003,1,5,5,30,30,0.87,0.87,individuals/transect/survey,0.2911,0.2911,From SE,0.87,0.87,0.2911,0.2911,NA,600,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1b,1b,1bm1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,2.11,4.35,individuals/survey,0.6878,0.4638,From SE,2.11,4.35,0.6878,0.4638,10,1,0,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,3.09,4.35,individuals/survey,0.7204,0.4638,From SE,3.09,4.35,0.7204,0.4638,NA,25,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,3.52,4.35,individuals/survey,0.7369,0.4638,From SE,3.52,4.35,0.7369,0.4638,NA,50,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,3.72,4.35,individuals/survey,0.655,0.4638,From SE,3.72,4.35,0.655,0.4638,NA,100,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,3.53,4.35,individuals/survey,0.7534,0.4638,From SE,3.53,4.35,0.7534,0.4638,NA,150,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,3.25,4.35,individuals/survey,0.655,0.4638,From SE,3.25,4.35,0.655,0.4638,NA,200,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,3.24,4.35,individuals/survey,0.7042,0.4638,From SE,3.24,4.35,0.7042,0.4638,NA,250,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2004,1,5,5,30,30,4.35,4.35,individuals/transect/survey,0.4638,0.4638,From SE,4.35,4.35,0.4638,0.4638,NA,600,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.4,0.56,individuals/survey,0.3221,0.2161,From SE,0.4,0.56,0.3221,0.2161,10,1,0,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.5,0.56,individuals/survey,0.3262,0.2161,From SE,0.5,0.56,0.3262,0.2161,NA,25,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.5,0.56,individuals/survey,0.4148,0.2161,From SE,0.5,0.56,0.4148,0.2161,NA,50,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.29,0.56,individuals/survey,0.302,0.2161,From SE,0.29,0.56,0.302,0.2161,NA,100,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.4,0.56,individuals/survey,0.2779,0.2161,From SE,0.4,0.56,0.2779,0.2161,NA,150,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.29,0.56,individuals/survey,0.2416,0.2161,From SE,0.29,0.56,0.2416,0.2161,NA,200,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.19,0.56,individuals/survey,0.2013,0.2161,From SE,0.19,0.56,0.2013,0.2161,NA,250,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1bm2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2004,1,5,5,30,30,0.56,0.56,individuals/transect/survey,0.2161,0.2161,From SE,0.56,0.56,0.2161,0.2161,NA,600,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1a,1a,1ar1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,1.42,1.63,individuals/survey,3.243,0.2136,From SE,1.42,1.63,3.243,0.2136,10,1,0,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,2.31,1.63,individuals/survey,4.5101,0.2136,From SE,2.31,1.63,4.5101,0.2136,NA,25,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,1.71,1.63,individuals/survey,1.4933,0.2136,From SE,1.71,1.63,1.4933,0.2136,NA,50,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,2.35,1.63,individuals/survey,0.4525,0.2136,From SE,2.35,1.63,0.4525,0.2136,NA,100,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,1.72,1.63,individuals/survey,2.9413,0.2136,From SE,1.72,1.63,2.9413,0.2136,NA,150,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,3.91,1.63,individuals/survey,1.1916,0.2136,From SE,3.91,1.63,1.1916,0.2136,NA,200,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,2.36,1.63,individuals/survey,4.9173,0.2136,From SE,2.36,1.63,4.9173,0.2136,NA,250,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2003,1,5,5,30,30,1.63,1.63,individuals/transect/survey,0.2136,0.2136,From SE,1.63,1.63,0.2136,0.2136,NA,600,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1b,1b,1br1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,1.52,2.36,individuals/survey,1.0257,0.3935,From SE,1.52,2.36,1.0257,0.3935,10,1,0,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,2.99,2.36,individuals/survey,2.0363,0.3935,From SE,2.99,2.36,2.0363,0.3935,NA,25,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,2.73,2.36,individuals/survey,0.8598,0.3935,From SE,2.73,2.36,0.8598,0.3935,NA,50,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,2.4,2.36,individuals/survey,0.3318,0.3935,From SE,2.4,2.36,0.3318,0.3935,NA,100,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,1.92,2.36,individuals/survey,0.7089,0.3935,From SE,1.92,2.36,0.7089,0.3935,NA,150,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,2.46,2.36,individuals/survey,2.6246,0.3935,From SE,2.46,2.36,2.6246,0.3935,NA,200,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,2.82,2.36,individuals/survey,1.433,0.3935,From SE,2.82,2.36,1.433,0.3935,NA,250,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br1,Reptiles,r1,Uma inornata,North-America,USA,-116.33,33.78,5000,2004,1,5,5,30,30,2.36,2.36,individuals/transect/survey,0.3935,0.3935,From SE,2.36,2.36,0.3935,0.3935,NA,600,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1a,1a,1ar2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.08,0.15,individuals/survey,0.1079,0.1106,From SE,0.08,0.15,0.1079,0.1106,10,1,0,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.21,0.15,individuals/survey,0.2057,0.1106,From SE,0.21,0.15,0.2057,0.1106,NA,25,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.28,0.15,individuals/survey,0.2192,0.1106,From SE,0.28,0.15,0.2192,0.1106,NA,50,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.23,0.15,individuals/survey,0.2395,0.1106,From SE,0.23,0.15,0.2395,0.1106,NA,100,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.11,0.15,individuals/survey,0.1529,0.1106,From SE,0.11,0.15,0.1529,0.1106,NA,150,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.15,0.15,individuals/survey,0.2203,0.1106,From SE,0.15,0.15,0.2203,0.1106,NA,200,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.15,0.15,individuals/survey,0.2001,0.1106,From SE,0.15,0.15,0.2001,0.1106,NA,250,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2003,1,5,5,30,30,0.15,0.15,individuals/transect/survey,0.1106,0.1106,From SE,0.15,0.15,0.1106,0.1106,NA,600,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1b,1b,1br2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.04,0.04,individuals/survey,0.0899,0.0679,From SE,0.04,0.04,0.0899,0.0679,10,1,0,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.11,0.04,individuals/survey,0.1619,0.0679,From SE,0.11,0.04,0.1619,0.0679,NA,25,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.04,0.04,individuals/survey,0.0911,0.0679,From SE,0.04,0.04,0.0911,0.0679,NA,50,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0,0.04,individuals/survey,0,0.0679,From SE,0.0093,0.04,0.0278,0.0679,NA,100,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.04,0.04,individuals/survey,0.0899,0.0679,From SE,0.04,0.04,0.0899,0.0679,NA,150,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0,0.04,individuals/survey,0,0.0679,From SE,0.0093,0.04,0.0278,0.0679,NA,200,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.02,0.04,individuals/survey,0.063,0.0679,From SE,0.02,0.04,0.063,0.0679,NA,250,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br2,Reptiles,r2,Crotalus cerastes,North-America,USA,-116.33,33.78,5000,2004,1,5,5,30,30,0.04,0.04,individuals/transect/survey,0.0679,0.0679,From SE,0.04,0.04,0.0679,0.0679,NA,600,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1a,1a,1ar3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.62,0.64,individuals/survey,0.3205,0.2319,From SE,0.62,0.64,0.3205,0.2319,10,1,0,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.7,0.64,individuals/survey,0.3158,0.2319,From SE,0.7,0.64,0.3158,0.2319,NA,25,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.72,0.64,individuals/survey,0.2781,0.2319,From SE,0.72,0.64,0.2781,0.2319,NA,50,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.72,0.64,individuals/survey,0.2781,0.2319,From SE,0.72,0.64,0.2781,0.2319,NA,100,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.84,0.64,individuals/survey,0.3064,0.2319,From SE,0.84,0.64,0.3064,0.2319,NA,150,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.96,0.64,individuals/survey,0.33,0.2319,From SE,0.96,0.64,0.33,0.2319,NA,200,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,1.17,0.64,individuals/survey,0.3347,0.2319,From SE,1.17,0.64,0.3347,0.2319,NA,250,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1ar3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2003,1,5,5,30,30,0.64,0.64,individuals/transect/survey,0.2319,0.2319,From SE,0.64,0.64,0.2319,0.2319,NA,600,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1b,1b,1br3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.3,0.3,individuals/survey,0.2451,0.2038,From SE,0.3,0.3,0.2451,0.2038,10,1,0,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.55,0.3,individuals/survey,0.3818,0.2038,From SE,0.55,0.3,0.3818,0.2038,NA,25,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.45,0.3,individuals/survey,0.3441,0.2038,From SE,0.45,0.3,0.3441,0.2038,NA,50,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.45,0.3,individuals/survey,0.3818,0.2038,From SE,0.45,0.3,0.3818,0.2038,NA,100,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.39,0.3,individuals/survey,0.2922,0.2038,From SE,0.39,0.3,0.2922,0.2038,NA,150,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.3,0.3,individuals/survey,0.2404,0.2038,From SE,0.3,0.3,0.2404,0.2038,NA,200,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2004,1,9,5,6,30,0.32,0.3,individuals/survey,0.2593,0.2038,From SE,0.32,0.3,0.2593,0.2038,NA,250,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1b,1b,1br3,Reptiles,r3,Chionactis occipitalis,North-America,USA,-116.33,33.78,5000,2004,1,5,5,30,30,0.3,0.3,individuals/transect/survey,0.2038,0.2038,From SE,0.3,0.3,0.2038,0.2038,NA,600,NA,NA,600,NA,Desert,Paved road,1,1,2004
Barrows et al. 2006,1c,1c,1cr4,Reptiles,r4,Phrynosoma mcallii,North-America,USA,-116.33,33.78,5000,2002,1,9,5,6,30,0,1.8,individuals/survey,0,0.3969,From SE,0.0093,1.8,0.0278,0.3969,10,1,0,NA,600,NA,Desert,Paved road,1,1,2002
Barrows et al. 2006,1c,1c,1cr4,Reptiles,r4,Phrynosoma mcallii,North-America,USA,-116.33,33.78,5000,2002,1,9,5,6,30,0.04,1.8,individuals/survey,0.1151,0.3969,From SE,0.04,1.8,0.1151,0.3969,NA,25,NA,NA,600,NA,Desert,Paved road,1,1,2002
Barrows et al. 2006,1c,1c,1cr4,Reptiles,r4,Phrynosoma mcallii,North-America,USA,-116.33,33.78,5000,2002,1,9,5,6,30,0.11,1.8,individuals/survey,0.1367,0.3969,From SE,0.11,1.8,0.1367,0.3969,NA,50,NA,NA,600,NA,Desert,Paved road,1,1,2002
Barrows et al. 2006,1c,1c,1cr4,Reptiles,r4,Phrynosoma mcallii,North-America,USA,-116.33,33.78,5000,2002,1,9,5,6,30,0.53,1.8,individuals/survey,0.3454,0.3969,From SE,0.53,1.8,0.3454,0.3969,NA,100,NA,NA,600,NA,Desert,Paved road,1,1,2002
Barrows et al. 2006,1c,1c,1cr4,Reptiles,r4,Phrynosoma mcallii,North-America,USA,-116.33,33.78,5000,2002,1,9,5,6,30,1.21,1.8,individuals/survey,0.4174,0.3969,From SE,1.21,1.8,0.4174,0.3969,NA,150,NA,NA,600,NA,Desert,Paved road,1,1,2002
Barrows et al. 2006,1c,1c,1cr4,Reptiles,r4,Phrynosoma mcallii,North-America,USA,-116.33,33.78,5000,2002,1,9,5,6,30,1.48,1.8,individuals/survey,0.5469,0.3969,From SE,1.48,1.8,0.5469,0.3969,NA,200,NA,NA,600,NA,Desert,Paved road,1,1,2002
Barrows et al. 2006,1c,1c,1cr4,Reptiles,r4,Phrynosoma mcallii,North-America,USA,-116.33,33.78,5000,2002,1,9,5,6,30,1.48,1.8,individuals/survey,0.5037,0.3969,From SE,1.48,1.8,0.5037,0.3969,NA,250,NA,NA,600,NA,Desert,Paved road,1,1,2002
Barrows et al. 2006,1c,1c,1cr4,Reptiles,r4,Phrynosoma mcallii,North-America,USA,-116.33,33.78,5000,2002,1,5,5,30,30,1.8,1.8,individuals/transect/survey,0.3969,0.3969,From SE,1.8,1.8,0.3969,0.3969,NA,600,NA,NA,600,NA,Desert,Paved road,1,1,2002
Barrows et al. 2006,1a,1a,1ar4,Reptiles,r4,Phrynosoma mcallii,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.0185,1.14,individuals/survey,0.0596,0.3486,From SE,0.0185,1.14,0.0596,0.3486,10,1,0,NA,600,NA,Desert,Paved road,1,1,2003
